movie_title,release_date,month_released,rated,genre,runtime_minutes,belongs_to_collection,tagline,production_budget_usd,domestic_gross_usd,worldwide_gross_usd,imdb_score,dir_acted,dir_animation_dept,dir_art_dept,dir_art_dir,dir_assistant_dir,dir_camera_dept,dir_casting_dept,dir_casting_dir,dir_cinematographer,dir_composer,dir_costume_designer,dir_editor,dir_editorial_dept,dir_location_management,dir_makeup_dept,dir_music_artist,dir_music_dept,dir_producer,dir_production_designer,dir_production_manager,dir_script_dept,dir_sound_dept,dir_soundtrack,dir_special_effects,dir_stunts,dir_visual_effects,dir_writer
The Verdict,1982-12-08,12,R,Drama,129.0,0,"The doctors want to settle, the Church wants to settle, their lawyers want to settle, and even his own clients are desperate to settle. But Galvin is determined to defy them all. He will try the case.",16000000,53977250,53977250,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Diner,1982-04-02,4,R,Comedy,110.0,0,"Suddenly, life was more than French fries, gravy, and girls.",5000000,12592907,12592907,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
The Best Little Whorehouse in Texas,1982-07-23,7,R,Comedy,114.0,0,With Burt and Dolly this much fun just couldn't be legal!,20500000,69701637,69701637,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Megaforce,1982-06-25,6,PG,Action,99.0,0,Deeds not Words,18000000,5675599,5675599,3.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Border,1982-01-29,1,R,Crime,108.0,0,,13500000,6118683,6118683,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Scarface,1983-12-08,12,R,Crime,170.0,0,The world is yours...,25000000,44942821,44942821,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
The Outsiders,1983-03-25,3,PG,Crime,91.0,0,They grew up on the outside of society. They weren't looking for a fight. They were looking to belong.,10000000,25697647,25707698,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Superman III,1983-06-17,6,PG,Action,125.0,1,If the world's most powerful computer can control even Superman...no one on earth is safe.,39000000,59950623,80200000,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Flashdance,1983-04-14,4,R,Drama,95.0,0,When the dancer becomes the dance.,7000000,90463574,201463574,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
WarGames,1983-06-03,6,PG,Action,114.0,1,"Is it a game, or is it real?",12000000,74433837,74433837,7.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Right Stuff,1983-10-20,10,PG,Adventure,193.0,0,How the future began.,27000000,21500000,21500213,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
The Dead Zone,1983-10-21,10,R,Drama,103.0,0,"In his mind, he has the power to see the future. In his hands, he has the power to change it.",10000000,20766000,20766000,7.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Octopussy,1983-06-05,6,PG,Action,131.0,1,James Bond’s all time high.,27500000,67900000,187500000,6.5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Videodrome,1983-02-04,2,R,Horror,87.0,0,First it controls your mind. Then it destroys your body.,5952000,2120439,2120439,7.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Twilight Zone: The Movie,1983-06-24,6,PG,Horror,101.0,0,"You're travelling through another dimension. A dimension, not only of sight and sound, but of mind. A journey into a wondrous land whose boundaries are that of imagination. Next stop, the Twilight Zone!",10000000,29500000,29500000,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Never Say Never Again,1983-10-07,10,PG,Action,134.0,1,Sean Connery is James Bond 007,36000000,55500000,160000000,6.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Christmas Story,1983-11-18,11,PG,Comedy,93.0,1,"Peace, Harmony, Comfort and Joy... Maybe Next Year.",3250000,20640209,20640209,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Breathless,1983-05-13,5,R,Action,100.0,0,He's the last man on earth any woman needs - but every woman wants...,7000000,19910002,19910002,5.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Yentl,1983-11-18,11,PG,Drama,133.0,0,,12000000,39012241,39012241,6.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Eddie and the Cruisers,1983-09-23,9,PG,Drama,95.0,1,Rebel. Rocker. Lover. Idol. Vanished.,5000000,4685097,4685097,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Lone Wolf McQuade,1983-04-14,4,PG,Action,107.0,0,The 'Mad Dog' Criminal...The 'Lone Wolf' Lawman...The Ultimate Showdown.,5000000,12232628,12232628,6.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Brainstorm,1983-09-30,9,PG,Sci-Fi,106.0,0,...The Ultimate Experience,15000000,8921050,8921050,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Under Fire,1983-10-21,10,R,Drama,128.0,0,This wasn't their war but it was their story...and they wouldn't let it go!,8000000,5696391,5696391,7.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lovesick,1983-02-18,2,PG,Comedy,95.0,0,The psychiatrist who's crazy about a patient,10100000,10143618,10143618,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
The Terminator,1984-10-26,10,R,Action,107.0,1,Your future is in his hands.,6400000,38019031,78019031,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Dune,1984-12-14,12,PG-13,Action,137.0,0,"A world beyond your experience, beyond your imagination.",45000000,27447471,27503491,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Ghostbusters,1984-06-07,6,PG,Action,105.0,1,They ain't afraid of no ghost.,30000000,242604185,295585416,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Karate Kid,1984-06-22,6,PG,Action,126.0,1,Only the 'Old One' could teach him the secrets of the masters.,8000000,90815558,90857623,7.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Once Upon a Time in America,1984-02-16,6,R,Crime,229.0,0,"Crime, passion and lust for power - Sergio Leone's explosive saga of gangland America.",30000000,5321508,5576072,8.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Police Academy,1984-03-22,3,R,Comedy,96.0,1,What an Institution!,4500000,81198894,81198894,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Indiana Jones and the Temple of Doom,1984-05-23,5,PG,Action,118.0,1,If adventure has a name... it must be Indiana Jones.,28000000,179880271,333080271,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Body Double,1984-10-25,10,R,Crime,114.0,0,You can't believe everything you see.,10000000,8801940,8801940,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
A Nightmare on Elm Street,1984-11-14,11,R,Horror,91.0,1,"If Nancy Doesn't Wake Up Screaming, She Won't Wake Up At All!",1800000,25504513,25542906,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Amadeus,1984-10-26,9,PG,Biography,160.0,0,...Everything you've heard is true,18000000,51973029,51973029,8.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Beverly Hills Cop,1984-11-29,12,R,Action,105.0,1,The Heat Is On!,15000000,234760478,316300000,7.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Footloose,1984-02-17,2,PG,Drama,107.0,0,,8200000,80000000,80008943,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Gremlins,1984-06-07,6,PG,Comedy,106.0,1,"Don't get him wet, keep him out of bright light, and never feed him after midnight.",11000000,151661913,152445758,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Conan the Destroyer,1984-06-29,6,PG,Action,103.0,1,The most powerful legend of all is back in a new adventure.,18000000,26400000,26400000,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Splash,1984-03-09,3,PG,Comedy,111.0,1,Allen Bauer Thought He'd Never Find The Right Woman... He Was Only Half Wrong!,8000000,62599495,62599495,6.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Firestarter,1984-05-11,5,R,Action,114.0,1,Will she have the power... to survive?,15000000,15136870,15136870,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
C.H.U.D.,1984-08-31,8,R,Horror,88.0,1,They're not staying down there anymore!,1250000,4700000,4700000,5.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
