month_released,rated,genre,runtime_minutes,belongs_to_collection,production_budget_usd,domestic_gross_usd,worldwide_gross_usd,imdb_score,dir_acted,dir_animation_dept,dir_art_dept,dir_art_dir,dir_assistant_dir,dir_camera_dept,dir_casting_dept,dir_casting_dir,dir_cinematographer,dir_composer,dir_costume_designer,dir_editor,dir_editorial_dept,dir_location_management,dir_makeup_dept,dir_music_artist,dir_music_dept,dir_producer,dir_production_designer,dir_production_manager,dir_script_dept,dir_sound_dept,dir_soundtrack,dir_special_effects,dir_stunts,dir_visual_effects,dir_writer,non_dom_gross_usd,title_length,worldwide_roi,domestic_roi,non_dom_roi,success_level_ww
1,R,Biography,128.0,0,32000000,36299670,36299670,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0.1343646875,0.1343646875,-1.0,1
11,PG-13,Comedy,94.0,1,47000000,46293855,46293855,6.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,-0.01502436170212766,-0.01502436170212766,-1.0,0
9,PG,Drama,139.0,0,34000000,32014993,32014993,7.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,-0.05838255882352941,-0.05838255882352941,-1.0,0
5,R,Crime,97.0,0,3500000,27731527,27731527,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6.923293428571428,6.923293428571428,-1.0,2
10,PG,Drama,271.0,0,25000000,10731997,10731997,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10,-0.57072012,-0.57072012,-1.0,0
7,PG,Adventure,112.0,1,20000000,77698625,153698625,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,76000000,10,6.68493125,2.88493125,2.8,2
11,PG-13,Action,104.0,1,22000000,10696210,10696210,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,9,-0.5138086363636364,-0.5138086363636364,-1.0,0
11,PG,Drama,134.0,0,15000000,22954968,63954968,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,41000000,22,3.2636645333333334,0.5303312,1.7333333333333334,2
10,PG,Adventure,98.0,0,14000000,68856263,155008909,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,86152646,13,10.072064928571429,3.9183045,5.153760428571428,2
10,PG,Biography,114.0,0,12000000,22750363,22750363,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0.8958635833333334,0.8958635833333334,-1.0,1
5,PG-13,Comedy,111.0,0,8000000,22549338,22549338,7.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,1.81866725,1.81866725,-1.0,2
10,PG,Comedy,92.0,0,25000000,42222647,55598481,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13375834,23,1.22393924,0.68890588,-0.46496664,2
3,PG,Action,96.0,1,21000000,42273609,42273609,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,32,1.013029,1.013029,-1.0,2
7,R,Drama,109.0,0,14000000,27450453,27450453,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,14,0.9607466428571428,0.9607466428571428,-1.0,1
